0	1	2
19	19	4
53	53	3
43	44	1
0	0	2
33	34	3
11	11	9
24	51	3
55	55	6
39	39	2
40	44	1
32	33	5
46	48	2
32	32	2
14	14	9
12	32	2
12	20	1
13	35	1
6	6	6
40	53	2
38	38	13
42	42	3
43	49	1
12	28	1
33	33	2
58	58	5
2	2	5
33	39	2
13	13	7
18	18	12
13	14	1
16	17	5
24	24	2
29	56	3
48	48	8
51	51	3
24	28	1
48	50	1
30	32	1
50	50	4
17	17	6
46	46	3
16	18	2
20	20	2
14	41	1
56	57	3
40	40	2
5	5	2
36	37	3
12	17	1
15	17	2
56	56	6
47	47	5
59	59	1
48	49	1
39	40	1
15	15	1
31	31	2
10	18	1
16	16	3
17	38	1
12	29	3
34	34	2
3	3	2
14	34	1
1	10	2
34	37	1
28	52	1
14	15	2
41	41	4
36	36	5
15	16	2
16	19	2
12	30	1
42	51	1
19	24	2
44	45	1
56	58	1
5	6	2
22	22	1
8	8	2
4	4	5
37	37	1
11	23	2
2	14	1
47	48	2
6	8	1
54	55	4
28	30	1
0	12	2
23	56	1
28	28	1
15	40	1
35	35	4
11	50	1
15	37	1
55	59	2
9	20	2
52	53	2
11	32	2
17	18	1
44	44	2
30	56	2
12	13	1
1	15	1
34	39	1
40	41	1
57	57	2
52	54	1
30	30	1
44	59	1
21	21	1
0	56	2
35	36	2
20	21	2
49	49	3
28	32	1
7	39	1
10	10	2
1	1	2
38	47	1
13	30	1
45	45	1
7	7	1
38	52	1
2	3	1
52	52	1
10	11	1
18	37	1
39	45	1
38	39	1
57	58	1
55	56	1
12	12	1
11	13	1
39	57	1
