0	1	2
27	39	2
201	201	2
35	68	1
46	120	1
13	23	1
151	151	8
170	170	4
50	52	3
96	96	4
67	67	9
8	39	2
210	211	3
219	219	3
51	56	2
224	225	4
159	160	3
50	50	1
139	140	1
155	163	2
21	22	2
39	42	2
192	193	2
165	198	1
43	43	2
44	51	1
135	135	3
178	178	2
51	53	1
38	39	2
200	201	1
2	2	5
241	241	3
225	232	1
233	233	2
38	43	1
25	28	1
226	228	1
145	145	2
227	229	2
238	238	2
149	149	1
188	188	1
212	239	1
199	199	3
72	73	1
69	69	3
161	161	2
139	159	1
102	102	2
121	122	1
229	235	1
33	34	1
179	182	1
174	174	2
106	106	2
135	240	1
169	169	8
61	63	2
184	184	6
102	155	1
162	205	2
70	74	2
126	141	1
65	110	2
193	193	3
39	45	1
173	173	1
187	188	4
138	140	2
29	77	2
198	198	3
24	25	4
172	172	5
156	156	4
118	143	1
139	143	2
131	140	1
40	41	2
47	50	1
119	124	1
215	223	1
116	116	1
88	91	1
71	119	1
207	207	3
155	155	6
181	195	1
157	161	1
9	9	2
104	105	1
226	226	4
6	6	2
180	180	4
238	240	1
48	48	3
223	231	1
14	14	9
165	165	3
230	231	2
121	121	1
112	112	3
125	230	1
164	177	1
7	104	1
42	61	1
192	192	2
132	163	2
153	153	1
143	156	1
61	61	6
13	13	2
128	164	1
183	191	1
140	142	5
51	51	2
114	116	3
142	142	9
33	33	5
47	47	3
196	196	2
1	1	4
163	180	2
141	146	2
0	74	1
74	84	1
223	225	2
31	81	1
159	159	1
143	143	3
36	36	3
102	128	1
210	210	5
216	216	3
124	125	2
80	80	2
39	71	2
162	163	2
24	62	1
115	174	2
171	206	1
236	236	1
63	204	2
50	84	2
142	146	1
55	55	5
157	158	1
100	100	4
172	182	1
213	213	8
57	57	2
28	33	2
51	82	1
116	123	1
19	20	1
79	79	2
207	208	1
12	232	3
10	54	1
212	212	4
187	187	2
135	191	1
217	217	3
73	74	1
15	32	1
137	173	1
151	156	2
27	27	6
229	229	2
174	191	1
160	160	3
222	222	3
52	56	2
203	204	2
102	103	1
167	168	1
114	115	4
203	205	1
197	198	3
65	65	3
34	34	3
65	232	1
117	135	3
173	174	1
212	214	1
75	75	4
56	56	6
196	197	1
207	210	1
134	134	2
215	216	1
25	40	1
81	81	3
60	60	2
